geneId,diseaseId,score,ei,el,yearInitial,yearFinal,g_source
185,C0018801,0.60,0.96,NULL,1997,2019,ALL
185,C0018802,0.60,0.97,NULL,1997,2019,ALL
185,C0020538,0.60,0.94,NULL,1993,2020,ALL
185,C0022658,0.60,0.95,NULL,1997,2018,ALL
185,C0085580,0.60,0.94,NULL,1994,2019,ALL
185,C0266313,0.70,1.00,NULL,2005,2015,ALL
186,C0020538,0.60,1.00,NULL,2001,2019,ALL
189,C0268164,0.80,1.00,NULL,1973,2019,ALL
190,C0342482,1.00,1.00,strong,1994,2019,ALL
190,C1848296,0.70,0.97,NULL,1997,2019,ALL
207,C0006142,0.70,0.99,limited,1999,2020,ALL
207,C0009402,0.60,0.98,limited,2002,2020,ALL
207,C0025286,0.70,1.00,NULL,2013,2019,ALL
207,C0085261,0.69,1.00,NULL,2008,2019,ALL
207,C0678222,0.70,0.99,NULL,1999,2020,ALL
207,C0919267,0.70,0.97,NULL,2005,2020,ALL
207,C1140680,0.70,0.97,limited,2005,2020,ALL
207,C3554519,0.70,1.00,limited,2013,2013,ALL
208,C0006142,0.60,1.00,NULL,1995,2019,ALL
208,C0011860,0.96,1.00,NULL,2001,2018,ALL
208,C0678222,0.60,1.00,NULL,1995,2019,ALL
208,C3278384,0.70,1.00,NULL,2004,2017,ALL
212,C2677889,0.60,1.00,strong,1999,2018,ALL
212,C4551511,0.80,1.00,strong,1992,2019,ALL
213,C0011881,0.60,0.96,NULL,1989,2020,ALL
213,C0342185,0.80,0.94,strong,1986,2019,ALL
215,C0162309,1.00,0.98,definitive,1981,2020,ALL
215,C1527231,0.60,0.97,definitive,1984,2019,ALL
217,C0001973,0.70,1.00,NULL,1991,2019,ALL
217,C0085762,0.60,1.00,NULL,1994,2018,ALL
238,C0006118,0.61,1.00,NULL,2009,2012,ALL
238,C0007131,0.60,0.99,NULL,2007,2020,ALL
238,C0027819,0.70,0.96,NULL,2000,2020,ALL
238,C0152013,0.70,0.98,NULL,2008,2020,ALL
238,C0206180,0.60,0.97,NULL,1995,2020,ALL
238,C0334121,0.70,0.97,NULL,1999,2019,ALL
238,C2751681,0.60,1.00,definitive,2008,2012,ALL
249,C0020630,0.70,1.00,strong,1992,2020,ALL
249,C0220743,0.93,1.00,NULL,1992,2019,ALL
249,C0268412,1.00,1.00,NULL,1987,2019,ALL
249,C0268413,0.95,0.98,NULL,1988,2019,ALL
249,C1840322,0.61,1.00,NULL,1995,2015,ALL
249,C2673477,0.60,1.00,NULL,1995,2013,ALL
268,C1849930,0.80,0.96,strong,1991,2020,ALL
274,C0410204,0.73,1.00,NULL,2007,2018,ALL
283,C2678468,0.70,1.00,strong,2004,2015,ALL
286,C2674218,0.91,1.00,strong,1980,2011,ALL
288,C0005586,0.70,1.00,NULL,2008,2020,ALL
288,C3809672,0.70,1.00,limited,2013,2013,ALL
301,C0027627,0.60,0.96,NULL,1998,2019,ALL
324,C0009375,0.60,0.95,NULL,1990,2019,ALL
324,C0009402,0.80,0.97,strong,1990,2020,ALL
324,C0009404,0.90,0.98,NULL,1990,2019,ALL
324,C0024623,0.70,0.95,NULL,1992,2019,ALL
324,C0025149,0.70,1.00,NULL,1995,2020,ALL
324,C0032580,1.00,0.96,strong,1989,2020,ALL
324,C0038356,0.64,1.00,NULL,1993,2019,ALL
324,C0079218,0.80,1.00,NULL,1993,2019,ALL
324,C0206624,0.70,0.95,NULL,1995,2019,ALL
324,C0376358,0.70,0.96,NULL,1994,2019,ALL
324,C1851124,0.64,1.00,strong,1996,2011,ALL
324,C2239176,0.70,0.96,NULL,1993,2019,ALL
326,C0085859,1.00,0.99,NULL,1991,2020,ALL
326,C1855869,0.60,1.00,NULL,2002,2007,ALL
326,C3494489,0.60,0.99,NULL,1999,2020,ALL
330,C0242647,0.60,0.97,NULL,1999,2016,ALL
331,C1845076,0.69,1.00,strong,2009,2020,ALL
335,C0020538,0.70,1.00,NULL,2002,2019,ALL
335,C0268389,0.70,1.00,NULL,1988,2019,ALL
338,C0015695,0.70,1.00,NULL,2001,2018,ALL
338,C0020443,0.90,0.99,strong,1987,2019,ALL
338,C0020445,0.70,0.99,strong,1979,2019,ALL
338,C0020557,0.60,1.00,NULL,1991,2019,ALL
338,C1704417,0.80,0.99,definitive,1978,2018,ALL
338,C4551990,0.71,1.00,strong,1989,2018,ALL
344,C1720779,0.75,1.00,NULL,1993,2017,ALL
345,C3151467,0.61,1.00,NULL,1991,2016,ALL
348,C0002395,0.70,0.95,NULL,1991,2020,ALL
348,C0010068,0.70,0.97,NULL,1983,2019,ALL
348,C0020443,0.70,0.96,NULL,1985,2019,ALL
348,C0020473,0.60,0.96,NULL,1979,2020,ALL
348,C0020479,0.80,0.98,strong,1977,2020,ALL
348,C0036489,0.70,1.00,strong,2000,2014,ALL
348,C1863051,0.80,0.96,strong,1985,2017,ALL
348,C2673196,0.80,0.95,strong,1997,2020,ALL
351,C0002395,0.90,0.98,NULL,1987,2020,ALL
351,C0338656,0.60,0.98,NULL,1993,2020,ALL
351,C0497327,0.70,0.96,strong,1993,2020,ALL
351,C2751536,0.70,1.00,NULL,1990,2010,ALL
351,C2931672,0.60,1.00,NULL,1990,2019,ALL
353,C0268120,1.00,1.00,NULL,1986,2016,ALL
353,C3665382,0.80,1.00,NULL,1985,2012,ALL
355,C0007137,0.60,0.92,NULL,1999,2014,ALL
355,C1328840,1.00,1.00,strong,1978,2018,ALL
356,C1328840,0.89,1.00,strong,1984,2017,ALL
359,C0162283,0.90,1.00,strong,1988,2020,ALL
359,C1563706,0.70,1.00,strong,1994,2016,ALL
362,C1838359,0.70,1.00,moderate,1996,2016,ALL
367,C0006142,0.60,0.95,NULL,1990,2020,ALL
367,C0007112,0.60,1.00,NULL,2002,2019,ALL
367,C0033578,0.60,1.00,NULL,1990,2019,ALL
367,C0039585,1.00,0.97,NULL,1970,2019,ALL
367,C0268301,0.80,0.99,NULL,1984,2019,ALL
367,C0376358,1.00,0.98,limited,1992,2020,ALL
367,C0936016,0.60,0.96,NULL,1970,2019,ALL
367,C1839259,0.70,0.99,NULL,1990,2019,ALL
368,C0033847,1.00,0.98,NULL,1978,2020,ALL
368,C1867450,0.60,1.00,NULL,1978,2016,ALL
368,C3276161,0.60,1.00,NULL,2000,2012,ALL
383,C0268548,1.00,1.00,definitive,1944,2020,ALL
410,C0023522,1.00,0.98,NULL,1975,2019,ALL
411,C0026709,1.00,1.00,strong,1979,2019,ALL
412,C0079588,0.80,0.97,NULL,1978,2019,ALL
412,C2717836,0.60,0.91,NULL,1978,2018,ALL
412,C2720163,0.60,0.98,NULL,1979,2017,ALL
427,C0268255,1.00,1.00,strong,1989,2019,ALL
427,C1834569,0.75,1.00,strong,2012,2019,ALL
429,C1275808,0.61,1.00,limited,2003,2003,ALL
435,C0268547,1.00,1.00,definitive,1976,2019,ALL
443,C0206307,1.00,0.97,strong,1990,2020,ALL
445,C0175683,0.90,1.00,definitive,1982,2020,ALL
445,C4721769,0.80,1.00,definitive,1982,2019,ALL
462,C0272375,1.00,0.99,strong,1984,2019,ALL
472,C0004135,1.00,0.98,NULL,1953,2020,ALL
472,C0005684,0.69,1.00,NULL,2008,2017,ALL
472,C0006142,0.70,0.93,NULL,1996,2020,ALL
472,C0017638,0.60,0.94,strong,2001,2019,ALL
472,C0023418,0.90,1.00,strong,1998,2018,ALL
472,C0023434,0.70,0.97,NULL,1998,2019,ALL
472,C0024299,0.90,0.96,strong,1998,2020,ALL
472,C0024623,0.60,1.00,NULL,1998,2019,ALL
472,C0334634,0.80,1.00,NULL,1999,2017,ALL
477,C1865322,0.80,1.00,NULL,2003,2020,ALL
477,C3549447,0.61,1.00,NULL,2003,2020,ALL
478,C0338488,0.90,0.98,NULL,2009,2019,ALL
478,C1832466,0.80,1.00,strong,2012,2019,ALL
478,C1868681,0.80,0.98,NULL,2004,2019,ALL
478,C3553788,0.61,1.00,strong,2004,2017,ALL
488,C0018801,0.60,0.93,NULL,1996,2019,ALL
488,C0018802,0.80,0.93,strong,1996,2019,ALL
488,C0022595,1.00,0.97,limited,1999,2018,ALL
488,C0265971,0.74,1.00,NULL,2003,2017,ALL
501,C1849508,0.80,1.00,definitive,2006,2020,ALL
538,C0022716,1.00,1.00,definitive,1953,2019,ALL
538,C0268353,0.80,1.00,strong,1996,2019,ALL
538,C1845359,0.90,1.00,NULL,2004,2012,ALL
540,C0019202,1.00,0.98,definitive,1983,2020,ALL
545,C0265202,0.80,1.00,strong,2003,2018,ALL
545,C3281203,0.70,1.00,NULL,1990,2012,ALL
545,C4551474,0.61,1.00,NULL,2003,2009,ALL
546,C0585216,0.71,1.00,moderate,2003,2006,ALL
546,C0796003,0.72,1.00,definitive,1995,2020,ALL
546,C1845055,1.00,0.98,NULL,1995,2019,ALL
551,C0011175,0.60,1.00,NULL,1989,2019,ALL
551,C0011848,0.70,1.00,NULL,1981,2020,ALL
551,C0020538,0.60,1.00,NULL,1984,2020,ALL
551,C0687720,1.00,0.99,NULL,1978,2020,ALL
554,C0162283,0.90,1.00,strong,1992,2019,ALL
554,C1563705,0.80,0.98,strong,1989,2020,ALL
554,C1845202,0.77,1.00,strong,2005,2019,ALL
567,C0268389,0.70,1.00,NULL,2012,2012,ALL
567,C1855796,0.71,1.00,strong,2006,2015,ALL
570,C1843139,0.71,1.00,NULL,2003,2013,ALL
583,C2936863,0.91,1.00,NULL,2001,2019,ALL
583,C4225281,0.70,1.00,NULL,2015,2015,ALL
590,C1283400,0.72,1.00,NULL,1957,2016,ALL
595,C0026764,0.70,0.98,NULL,1992,2019,ALL
595,C0376358,0.60,0.95,NULL,1998,2020,ALL
596,C0002395,0.60,1.00,NULL,1996,2019,ALL
596,C0007102,0.60,1.00,NULL,1997,2019,ALL
596,C0011860,0.67,1.00,NULL,2006,2020,ALL
596,C0024301,0.60,0.97,NULL,1985,2020,ALL
596,C0024305,0.60,0.97,NULL,1988,2019,ALL
604,C0024305,0.60,0.96,NULL,1993,2015,ALL
613,C0023473,0.70,0.97,NULL,1980,2020,ALL
617,C0023264,0.70,1.00,limited,1998,2017,ALL
617,C0266006,0.75,1.00,definitive,1998,2017,ALL
617,C1864002,0.77,1.00,NULL,1998,2019,ALL
617,C3541471,0.70,1.00,NULL,1998,2017,ALL
627,C0002395,0.60,0.96,NULL,1991,2020,ALL
627,C0005586,0.60,1.00,NULL,2002,2019,ALL
627,C0011570,0.60,1.00,NULL,2003,2020,ALL
627,C0011581,0.60,1.00,NULL,2003,2020,ALL
627,C0041696,0.60,1.00,NULL,2005,2020,ALL
627,C1275808,0.62,1.00,limited,2002,2018,ALL
629,C0242383,0.70,0.97,limited,2006,2019,ALL
629,C2752038,0.60,1.00,strong,2007,2016,ALL
629,C2931788,0.60,1.00,NULL,1972,2019,ALL
629,C3809950,0.60,1.00,moderate,1972,1972,ALL
633,C1848097,0.71,1.00,NULL,2016,2017,ALL
633,C4310811,0.70,1.00,strong,2017,2017,ALL
641,C0005859,1.00,0.99,definitive,1994,2020,ALL
641,C0023418,0.61,1.00,strong,2005,2017,ALL
641,C0024299,0.61,1.00,strong,2002,2017,ALL
649,C3553887,0.71,1.00,strong,2012,2019,ALL
650,C1832702,0.75,1.00,strong,2005,2018,ALL
652,C1864689,0.70,1.00,NULL,1986,2013,ALL
652,C2677434,0.71,1.00,NULL,1986,2009,ALL
657,C0345893,1.00,0.98,definitive,1993,2019,ALL
657,C1832940,0.80,1.00,definitive,2001,2009,ALL
657,C1868081,0.80,1.00,definitive,2001,2009,ALL
659,C0034091,0.72,1.00,NULL,2003,2016,ALL
659,C0152171,0.60,1.00,NULL,2000,2019,ALL
659,C0340543,0.70,1.00,NULL,1997,2019,ALL
659,C3203102,0.70,0.98,NULL,2000,2020,ALL
659,C4552070,0.70,1.00,moderate,2000,2018,ALL
667,C3539003,0.71,1.00,limited,2010,2017,ALL
667,C3809470,0.60,1.00,NULL,2010,2015,ALL
668,C0220663,1.00,1.00,NULL,1995,2020,ALL
668,C1837008,0.70,1.00,strong,2002,2009,ALL
672,C0006142,1.00,0.96,strong,1992,2020,ALL
672,C0006826,0.60,0.97,NULL,1993,2020,ALL
672,C0015625,0.60,1.00,NULL,2001,2020,ALL
672,C0030297,0.62,1.00,NULL,2005,2015,ALL
672,C0346647,0.60,1.00,NULL,1997,2020,ALL
672,C0677776,0.80,0.99,strong,1990,2020,ALL
672,C0678222,0.70,0.96,NULL,1992,2020,ALL
672,C0919267,0.70,0.97,NULL,1992,2020,ALL
672,C1140680,0.80,0.97,strong,1992,2020,ALL
672,C2676676,0.70,1.00,definitive,1976,2019,ALL
672,C4554406,0.70,1.00,definitive,2013,2019,ALL
673,C0009402,0.70,0.98,NULL,2002,2020,ALL
673,C0010276,0.60,1.00,NULL,2014,2019,ALL
673,C0017638,0.60,1.00,NULL,2005,2020,ALL
673,C0019621,0.80,1.00,NULL,2010,2019,ALL
673,C0023443,0.60,0.94,NULL,2011,2020,ALL
673,C0025202,1.00,0.98,NULL,1986,2020,ALL
673,C0028326,0.77,1.00,moderate,2003,2019,ALL
673,C0040136,0.70,0.99,NULL,2003,2020,ALL
673,C0152013,0.70,1.00,NULL,2002,2019,ALL
673,C0175704,0.65,1.00,limited,2009,2017,ALL
673,C0238463,0.90,0.97,NULL,2003,2020,ALL
673,C0242379,0.60,1.00,NULL,2002,2020,ALL
673,C0334583,0.60,0.96,NULL,2008,2020,ALL
673,C0549473,0.60,0.99,NULL,2003,2019,ALL
673,C0684249,0.70,1.00,NULL,2002,2019,ALL
673,C1140680,0.60,0.94,NULL,2003,2019,ALL
673,C1275081,1.00,0.97,definitive,2003,2019,ALL
673,C1319315,0.60,1.00,NULL,2011,2019,ALL
673,C3150970,0.70,1.00,NULL,2006,2017,ALL
673,C3150971,0.70,1.00,NULL,2006,2013,ALL
675,C0006142,1.00,0.95,strong,1994,2020,ALL
675,C0024121,0.60,1.00,NULL,2014,2014,ALL
675,C0025149,0.63,1.00,strong,2003,2018,ALL
675,C0027708,0.72,1.00,strong,2005,2018,ALL
675,C0346647,0.80,0.99,NULL,1996,2019,ALL
675,C0376358,0.90,0.95,strong,1996,2020,ALL
675,C0677776,0.80,0.99,strong,1990,2020,ALL
675,C0678222,0.70,0.95,NULL,1994,2020,ALL
675,C0919267,0.90,0.95,NULL,1994,2020,ALL
675,C1140680,0.80,0.95,strong,1994,2020,ALL
675,C1838457,0.92,1.00,definitive,2002,2018,ALL
675,C2675520,0.70,1.00,definitive,1988,2019,ALL
686,C0220754,1.00,0.99,definitive,1993,2019,ALL
688,C0009402,0.64,1.00,NULL,2011,2019,ALL
695,C0221026,1.00,0.96,NULL,1975,2020,ALL
695,C0472813,0.70,1.00,NULL,1994,2017,ALL
701,C1850343,1.00,1.00,definitive,2004,2019,ALL
701,C1864389,0.64,1.00,NULL,2006,2014,ALL
710,C0019243,0.60,0.99,strong,1971,2020,ALL
710,C1852700,0.60,1.00,strong,1995,1995,ALL
710,C2717906,0.73,0.96,strong,1988,2018,ALL
718,C0242383,0.70,1.00,limited,2007,2020,ALL
718,C1332655,0.63,1.00,strong,1972,2013,ALL
718,C2752037,0.60,1.00,strong,2005,2016,ALL
718,C2931788,0.60,1.00,strong,2008,2019,ALL
718,C3151071,0.70,1.00,strong,1972,2016,ALL
721,C0024141,0.60,0.94,NULL,1985,2019,ALL
721,C3280641,0.63,1.00,strong,1992,2016,ALL
727,C0343047,0.61,1.00,strong,1977,2015,ALL
760,C0345407,0.99,1.00,strong,1985,2020,ALL
773,C0014553,0.76,1.00,strong,1996,2020,ALL
773,C0752124,1.00,0.99,NULL,1997,2019,ALL
773,C1720416,1.00,0.99,NULL,1996,2019,ALL
773,C1832884,0.80,0.97,NULL,1996,2018,ALL
773,C4310716,0.70,1.00,NULL,1996,2017,ALL
775,C1269683,0.70,1.00,NULL,2010,2019,ALL
775,C1832916,1.00,0.97,strong,2004,2019,ALL
775,C2678478,0.70,1.00,NULL,2007,2018,ALL
790,C4225320,0.70,1.00,NULL,2015,2019,ALL
801,C1631597,0.74,1.00,strong,2009,2019,ALL
801,C3554047,0.60,1.00,strong,2005,2016,ALL
801,C4015671,0.70,1.00,strong,2005,2016,ALL
805,C4015695,0.70,1.00,strong,2013,2016,ALL
811,C0001815,0.80,0.93,limited,2013,2020,ALL
811,C0026987,0.60,0.93,limited,2013,2020,ALL
811,C0040028,0.60,0.97,NULL,2013,2020,ALL
823,C4310800,0.71,1.00,NULL,2016,2019,ALL
825,C1299884,0.62,1.00,NULL,2000,2010,ALL
825,C1869123,1.00,0.99,strong,1995,2019,ALL
831,C4225381,0.72,1.00,strong,2015,2019,ALL
836,C0002395,0.60,0.98,NULL,1999,2020,ALL
836,C0027051,0.60,1.00,NULL,2002,2019,ALL
836,C0038525,0.60,0.96,NULL,2014,2019,ALL
836,C0243026,0.60,1.00,NULL,2005,2020,ALL
841,C0006142,0.60,0.98,NULL,2004,2019,ALL
841,C0678222,0.70,0.98,NULL,2004,2019,ALL
841,C1846545,0.94,1.00,strong,2002,2019,ALL
841,C2239176,0.90,1.00,NULL,1998,2019,ALL
846,C0020502,0.70,0.97,NULL,1996,2019,ALL
846,C0342637,1.00,0.99,NULL,1976,2020,ALL
846,C1809471,0.70,0.99,NULL,1991,2018,ALL
846,C1832615,0.80,0.96,strong,1995,2020,ALL
846,C3715128,0.92,1.00,strong,1994,2019,ALL
846,C4048195,0.70,1.00,NULL,1995,2019,ALL
847,C0020538,0.60,0.96,NULL,2001,2020,ALL
847,C0268419,0.70,1.00,strong,1988,2019,ALL
857,C0006142,0.80,0.98,NULL,1999,2019,ALL
857,C0020538,0.60,1.00,NULL,1992,2020,ALL
857,C0340543,0.64,1.00,moderate,2012,2018,ALL
857,C2675861,0.61,1.00,NULL,2008,2015,ALL
857,C3203102,0.70,0.96,moderate,2007,2019,ALL
857,C3807567,0.60,1.00,NULL,2008,2012,ALL
859,C0241005,0.70,1.00,NULL,2000,2005,ALL
859,C0686353,0.60,1.00,strong,1998,2016,ALL
859,C1832560,0.70,1.00,NULL,1998,2018,ALL
859,C1853698,0.90,1.00,NULL,2001,2018,ALL
859,C2678485,0.74,1.00,limited,2006,2018,ALL
859,C3280443,0.70,1.00,NULL,2002,2009,ALL
859,C3495498,0.60,1.00,NULL,2004,2004,ALL
860,C0008928,1.00,0.98,NULL,1997,2019,ALL
860,C3549874,0.63,1.00,NULL,2013,2018,ALL
861,C0023467,0.80,0.99,strong,1991,2020,ALL
861,C1832388,0.73,1.00,definitive,1998,2019,ALL
867,C0349639,0.80,1.00,strong,2009,2019,ALL
867,C3150803,0.72,1.00,NULL,2008,2017,ALL
871,C3151211,0.91,1.00,strong,2010,2018,ALL
875,C0019880,0.90,0.98,NULL,1988,2019,ALL
875,C0598608,0.60,0.94,NULL,1995,2019,ALL
875,C0751202,0.80,1.00,definitive,1959,2019,ALL
889,C2919945,1.00,0.99,NULL,1992,2019,ALL
894,C0007102,0.61,1.00,NULL,2004,2019,ALL
894,C4014742,0.60,1.00,NULL,2014,2014,ALL
898,C0919267,0.60,1.00,NULL,2008,2019,ALL
898,C1140680,0.60,1.00,NULL,2008,2020,ALL
898,C2239176,0.60,0.94,NULL,2002,2020,ALL
919,C1857798,0.60,1.00,moderate,2015,2015,ALL
930,C0009447,0.60,1.00,NULL,2002,2020,ALL
948,C0020538,0.60,1.00,NULL,2000,2019,ALL
948,C1842090,0.90,0.97,NULL,1993,2019,ALL
949,C1853096,0.60,1.00,limited,2016,2016,ALL
953,C3810289,0.70,1.00,NULL,2014,2018,ALL
958,C1720957,0.70,1.00,NULL,2001,2016,ALL
959,C0398689,0.80,0.98,NULL,1992,2020,ALL
966,C2676767,0.76,1.00,NULL,1992,2019,ALL
983,C2239176,0.60,1.00,NULL,1999,2019,ALL
998,C4225222,0.71,1.00,NULL,2015,2018,ALL
999,C0005684,0.69,1.00,NULL,2000,2016,ALL
999,C0005695,0.60,1.00,NULL,2000,2016,ALL
999,C0006142,0.80,1.00,limited,1991,2019,ALL
999,C0024623,0.80,0.93,NULL,1996,2020,ALL
999,C0038356,0.60,1.00,NULL,1998,2017,ALL
999,C0206692,0.69,1.00,NULL,1995,2013,ALL
999,C0376358,0.70,0.90,limited,1997,2019,ALL
999,C0476089,0.70,0.94,limited,1994,2018,ALL
999,C0699791,0.70,0.94,NULL,1996,2020,ALL
999,C1140680,0.69,1.00,limited,1994,2017,ALL
999,C1708349,0.80,0.97,definitive,1990,2020,ALL
999,C4551988,0.60,1.00,strong,2016,2017,ALL
1009,C0809936,0.63,1.00,strong,2017,2018,ALL
1019,C0023827,0.60,1.00,NULL,1995,2019,ALL
1019,C0025202,0.70,0.96,strong,1994,2020,ALL
1019,C0205824,0.60,1.00,NULL,2003,2020,ALL
1019,C1370889,0.60,0.95,NULL,2000,2019,ALL
1019,C1836892,0.70,1.00,definitive,1995,2019,ALL
1020,C4225359,0.60,1.00,limited,2015,2015,ALL
1021,C4015156,0.70,1.00,NULL,2013,2013,ALL
1027,C0006142,0.60,0.96,NULL,1996,2019,ALL
1027,C0027662,0.60,0.96,NULL,2006,2017,ALL
1027,C0032000,0.71,1.00,strong,2006,2010,ALL
1027,C0678222,0.60,0.97,NULL,1996,2019,ALL
1027,C1970712,0.79,1.00,definitive,1996,2019,ALL
1028,C0004903,0.80,1.00,NULL,1992,2019,ALL
1028,C1846009,0.80,1.00,NULL,1997,2020,ALL
1029,C0005695,0.60,1.00,NULL,1995,2019,ALL
1029,C0006826,0.60,0.95,NULL,1994,2020,ALL
1029,C0007131,0.60,0.96,NULL,1994,2020,ALL
1029,C0007137,0.70,0.96,NULL,1994,2020,ALL
1029,C0014859,0.80,0.96,NULL,1994,2019,ALL
1029,C0017638,0.60,0.94,NULL,1994,2020,ALL
1029,C0023452,0.60,0.96,limited,1994,2019,ALL
1029,C0023903,0.69,0.93,NULL,1997,2019,ALL
1029,C0024121,0.80,1.00,NULL,1997,2019,ALL
1029,C0025202,0.80,0.95,strong,1994,2020,ALL
1029,C0025500,0.60,0.97,NULL,1995,2019,ALL
1029,C0030297,0.80,1.00,NULL,1996,2019,ALL
1029,C0151779,0.70,0.95,NULL,1995,2016,ALL
1029,C0235974,0.60,0.98,NULL,1995,2019,ALL
1029,C0346647,0.60,0.98,NULL,1995,2019,ALL
1029,C1835042,0.61,1.00,NULL,2001,2018,ALL
1029,C1835044,0.70,1.00,strong,1994,2010,ALL
1029,C1838547,0.60,1.00,definitive,1994,2016,ALL
1029,C2239176,0.70,0.98,NULL,1996,2019,ALL
1041,C1840299,0.70,1.00,strong,2003,2012,ALL
1041,C1849193,0.63,1.00,strong,2010,2013,ALL
1050,C0023467,1.00,0.99,definitive,1992,2020,ALL
1056,C1853297,0.65,1.00,NULL,2006,2018,ALL
1071,C3149462,0.80,0.93,limited,1990,2018,ALL
1075,C0030360,0.80,0.97,strong,1998,2020,ALL
1075,C1855627,0.75,1.00,strong,2000,2020,ALL
1075,C4551681,0.70,1.00,strong,2000,2016,ALL
1080,C0010674,1.00,0.98,NULL,1989,2020,ALL
1080,C0238339,0.73,1.00,strong,1999,2013,ALL
1080,C0403814,1.00,0.97,strong,1992,2019,ALL
1103,C0393929,0.91,1.00,strong,2001,2017,ALL
1121,C0008525,1.00,0.97,NULL,1987,2020,ALL
